Date,students
1959-01-01,112
1959-01-02,118
1959-01-03,132
1959-01-04,129
1959-01-05,121
1959-01-06,135
1959-01-07,148
1959-01-08,148
1959-01-09,136
1959-01-10,119
1959-01-11,104
1959-01-12,118
1959-01-13,115
1959-01-14,126
1959-01-15,141
1959-01-16,135
1959-01-17,125
1959-01-18,149
1959-01-19,170
1959-01-20,170
1959-01-21,158
1959-01-22,133
1959-01-23,114
1959-01-24,140
1959-01-25,145
1959-01-26,150
1959-01-27,178
1959-01-28,163
1959-01-29,172
1959-01-30,178
1959-01-31,199
1959-02-01,199
1959-02-02,184
1959-02-03,162
1959-02-04,146
1959-02-05,166
1959-02-06,171
1959-02-07,180
1959-02-08,193
1959-02-09,181
1959-02-10,183
1959-02-11,218
1959-02-12,230
1959-02-13,242
1959-02-14,209
1959-02-15,191
1959-02-16,172
1959-02-17,194
1959-02-18,196
1959-02-19,196
1959-02-20,236
1959-02-21,235
1959-02-22,229
1959-02-23,243
1959-02-24,264
1959-02-25,272
1959-02-26,237
1959-02-27,211
1959-02-28,180
1959-03-01,201
1959-03-02,204
1959-03-03,188
1959-03-04,235
1959-03-05,227
1959-03-06,234
1959-03-07,264
1959-03-08,302
1959-03-09,293
1959-03-10,259
1959-03-11,229
1959-03-12,203
1959-03-13,229
1959-03-14,242
1959-03-15,233
1959-03-16,267
1959-03-17,269
1959-03-18,270
1959-03-19,315
1959-03-20,364
1959-03-21,347
1959-03-22,312
1959-03-23,274
1959-03-24,237
1959-03-25,278
1959-03-26,284
1959-03-27,277
1959-03-28,317
1959-03-29,313
1959-03-30,318
1959-03-31,374
1959-04-01,413
1959-04-02,405
1959-04-03,355
1959-04-04,306
1959-04-05,271
1959-04-06,306
1959-04-07,315
1959-04-08,301
1959-04-09,356
1959-04-10,348
1959-04-11,355
1959-04-12,422
1959-04-13,465
1959-04-14,467
1959-04-15,404
1959-04-16,347
1959-04-17,305
1959-04-18,336
1959-04-19,340
1959-04-20,318
1959-04-21,362
1959-04-22,348
1959-04-23,363
1959-04-24,435
1959-04-25,491
1959-04-26,505
1959-04-27,404
1959-04-28,359
1959-04-29,310
1959-04-30,337
1959-05-01,360
1959-05-02,342
1959-05-03,406
1959-05-04,396
1959-05-05,420
1959-05-06,472
1959-05-07,548
1959-05-08,559
1959-05-09,463
1959-05-10,407
1959-05-11,362
1959-05-12,405
1959-05-13,417
1959-05-14,391
1959-05-15,419
1959-05-16,461
1959-05-17,472
1959-05-18,535
1959-05-19,622
1959-05-20,606
1959-05-21,508
1959-05-22,461
1959-05-23,390
1959-05-24,432
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
